date,letter,sample,ebit kV,ebit mA,cps/array,
20181203,A,Ne,4,99.4,170,
20181203,B,noise,-,-,-,
20181203,C,Ar,4,99.4,132,
20181203,D,Ar,10,92,50,
20181203,E,background,4,92.8,60,
20181203,F,CO2,2,53.4,40,
20181204,A,tuning MeeVa,,,,
20181204,B,tuning MeeVa,,,,
20181204,C,tuning MeeVa,,,,
20181204,D,Fe,9.9,100.2,,
20181204,E,W,4.11,105.1,132,
20181204,F,noise,,,,MeeVa OFF
20181204,G,noise,,,,MeeVa ON
20181204,H,W,,,170,
20181204,I,Ir,4.69,105,127,
20181204,J,Ar,9.5,108,,
20181204,K,Ir,15.6,,,
20181204,L,Ne,4,108,200,
20181205,A,noise,,,,
20181205,B,Ne,4,138.9,260,
20181205,C,W,4.1,137.3,280,
20181205,D,Os,4.5,145.9,230,
20181205,E,Ar,9.5,140,68,
20181205,F,Re,4.3,135,260,
20181205,G,W,4.1,145,,
20181205,H,CO2,2,58,60,
20181205,I,Ir,15.06,142.3,30,